AMOUNT,CANDIDATE,CONTRIBUTIONTYPEDESC,CONTRIBUTORTYPEDESC,CONTRIBUTOR_ADDRESS,CONTRIBUTOR_NAME,CONTRIBUTOR_POSTAL_CODE,OFFICE,OFFICE_TYPE,WARD_NO,Year
300.0,"Grimes, Mark",Monetary,Individual, ,"Flynn-Guglietti, Mary",M5J 2T3,Councillor,2.0,6,2006
250.0,"Watt, Steve",Monetary,Individual, ,"Flynn-Guglietti, Mary L.",M5J 2T3,Councillor,2.0,16,2006
150.0,"De Baeremaeker, Glenn",Monetary,Individual, ,"Flys, Andre",L0G 1T0,Councillor,2.0,38,2006
150.0,"De Baeremaeker, Glenn",Monetary,Individual, ,"Flys, Denise",M4S 2M5,Councillor,2.0,38,2006
750.0,"Moscoe, Howard",Monetary,Corporation,"158 Strathnairn Avenue, Toronto",FM Faraone Building Consultant,M6M 2G1,Councillor,2.0,15,2006
400.0,"Minnan-Wong, Denzil",Monetary,Corporation,"250 Consumers Rd., Suite 602, Toronto",Focus Financial Centre Inc.,M2J 4V6,Councillor,2.0,34,2006
750.0,"Palacio, Cesar",Monetary,Individual, ,"Foderick, Michael",M6R 1G7,Councillor,2.0,17,2006
200.0,"Miller, Andrew",Monetary,Individual, ,"Foebel, Jessie",L3K 6A3,Councillor,2.0,23,2006
350.0,"Hamara, Greg",Monetary,Individual, ,"Fogarty, Valerie",L9A 2K4,Councillor,2.0,13,2006
500.0,"Feldman, Michael",Monetary,Individual, ,"Fogler, Lloyd",M4V 2J8,Councillor,2.0,10,2006
750.0,"Wookey, Simon",Monetary,Individual, ,"Fogler, Lloyd",M5J 2Z9,Councillor,2.0,18,2006
300.0,"Colautti, John",Monetary,Individual, ,"Foisy-Marquis, Rene",M6R 1Z2,Councillor,2.0,14,2006
300.0,"Wong, John",Monetary,Individual, ,"Fok, Tara",M1W 3X4,Councillor,2.0,39,2006
750.0,"Santos, Rowena",Monetary,Individual, ,"Folk, David",M6S 4S6,Councillor,2.0,14,2006
500.0,"Parker, John",Monetary,Individual, ,"Fong Yee, Natalie",M5E 2A1,Councillor,2.0,26,2006
300.0,"Yeung, Sonny",Monetary,Individual, ,"Fong, Andrew",M1L 2V8,Councillor,2.0,41,2006
500.0,"Cook, Wayne",Monetary,Individual, ,"Fong, Danny",L3R 9V4,Councillor,2.0,39,2006
300.0,"Yeung, Sonny",Monetary,Individual, ,"Fong, Esther Yun-Hung",L3R 8N9,Councillor,2.0,41,2006
500.0,"Cook, Wayne",Monetary,Individual, ,"Fong, Jeffrey",L3R 9V4,Councillor,2.0,39,2006
300.0,"Robertson, David",Monetary,Individual, ,"Fong, Mei Yau",M1V 4S6,Councillor,2.0,41,2006
300.0,"Robertson, David",Monetary,Individual, ,"Fong, Siew C.",M1K 3S6,Councillor,2.0,41,2006
300.0,"Walsh, Gary",Monetary,Individual, ,"Fontaine, Catherine",L1T 3W5,Councillor,2.0,34,2006
200.0,"Walsh, Gary",Monetary,Individual, ,"Fontaine, Glenn",M3A 2R7,Councillor,2.0,34,2006
500.0,"Perruzza, Anthony",Monetary,Corporation,"52 Keswick Rd., Toronto",For Con Construction,M3K 2A9,Councillor,2.0,8,2006
400.0,"Milczyn, Peter",Monetary,Corporation,"291 Edgeley Boulevard, Suite 1, Concord",Foram Holdings Inc.,L4K 3Z4,Councillor,2.0,5,2006
600.0,"Berardinetti, Michelle",Monetary,Corporation,"8820 Jane St., Concord",Forbes/Hutton Financial Corp.,L4K 2M9,Councillor,2.0,35,2006
1832.5,"Ford, Rob",Goods/Services,Individual, ,"Ford, Rob",M9P 1R7,Councillor,2.0,2,2006
750.0,"Romano Anthony, Sandra",Monetary,Individual, ,"Ford, Rob",M9W 1E1,Councillor,2.0,7,2006
750.0,"Daly, Shane",Monetary,Individual, ,"Ford, Robert",M9W 1E1,Councillor,2.0,4,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"311 Clarence St., Brampton",Forest Contractors Ltd.,L6W 1T6,Councillor,2.0,7,2006
750.0,"Nunziata, Frances",Monetary,Corporation,"5332 Highway 7, Woodbridge",Forest Green Homes,L4L 1T3,Councillor,2.0,11,2006
200.0,"Shi, Scott",Monetary,Corporation,"466-468 Dundas St. W. , Suite 2nd Floor, Toronto",Forestview Chinese Restaurant,M5T 1G9,Councillor,2.0,41,2006
300.0,"Nunziata, Frances",Monetary,Corporation,"1479 Bough Beeches Blvd., Mississauga",Formula Homes Inc.,L4W 4G4,Councillor,2.0,11,2006
300.0,"Saundercook, Bill",Monetary,Corporation,"1479 Bough Beeches Blvd., Mississauga",Formula Homes Inc.,L4W 4G4,Councillor,2.0,13,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Fornari, Emilio",M3N 2L9,Councillor,2.0,9,2006
200.0,"McKenna, Mike",Monetary,Individual, ,"Forshee, Jamie",M9W 2A6,Councillor,2.0,2,2006
200.0,"Verma, Sonali",Monetary,Individual, ,"Fortini, Rosemary",M9V 5C1,Councillor,2.0,1,2006
300.0,"Bravo, Alejandra",Monetary,Individual, ,"Fothergill, Robert",M6H 2L4,Councillor,2.0,17,2006
500.0,"Feldman, Michael",Monetary,Individual, ,"Fotinos, Dennis",M4N 3R7,Councillor,2.0,10,2006
600.0,"Ashton, Brian",Monetary,Individual, ,"Fotinos, Dennis",M4N 3R7,Councillor,2.0,36,2006
750.0,"Grimes, Mark",Monetary,Individual, ,"Fouldis, Lynne",M4J 4H5,Councillor,2.0,6,2006
750.0,"Walker, Michael",Monetary,Individual, ,"Foulidis, George",M4B 1P4,Councillor,2.0,22,2006
200.0,"Masterson, John",Monetary,Corporation,"Unknown Address, Toronto",Four Seasons Auto Collision,M5H 2N2,Councillor,2.0,26,2006
200.0,"Masterson, John",Monetary,Corporation,"Unknown Address, Toronto",Four Seasons Auto Collision,M5H 2N2,Councillor,2.0,26,2006
500.0,"Gondor Berkovits, Magda",Monetary,Corporation,"1165 Leslie Street, Toronto",Four Seasons Hotels and Resorts,M3C 2K8,Councillor,2.0,10,2006
500.0,"Kennedy, Helen",Monetary,Individual, ,"Fowler, Elizabeth",M5E 1S3,Councillor,2.0,20,2006
200.0,"Mihevc, Joe",Monetary,Individual, ,"Fox, Audrey",M6G 2C9,Councillor,2.0,21,2006
250.0,"Vaughan, Adam",Monetary,Individual, ,"Fox, Willam",M5T 3L2,Councillor,2.0,20,2006
300.0,"Carroll, Shelley",Monetary,Individual, ,"Fracassi, Luigi",M1W 4A3,Councillor,2.0,33,2006
150.0,"Bravo, Alejandra",Monetary,Individual, ,"Frache, Pam",M6H 3M8,Councillor,2.0,17,2006
100.0,"Bravo, Alejandra",Monetary,Individual, ,"Frache, Pam",M6H 3M8,Councillor,2.0,17,2006
175.0,"Kelly, Norm",Monetary,Individual, ,"Frame, David",M2H 3A2,Councillor,2.0,40,2006
500.0,"Lindsay Luby, Gloria",Monetary,Individual, ,"Franceschini, James",M9P 3S8,Councillor,2.0,4,2006
100.0,"Augimeri, Maria",Monetary,Individual, ,"Francescut, V.",L3T 1W2,Councillor,2.0,9,2006
200.0,"Augimeri, Maria",Monetary,Individual, ,"Francescut, V.",L3T 1W2,Councillor,2.0,9,2006
100.0,"Fletcher, Paula",Monetary,Individual, ,"Francis, Desiree",M9M 2Y8,Councillor,2.0,30,2006
100.0,"Fletcher, Paula",Monetary,Individual, ,"Francis, Desiree",M9M 2Y8,Councillor,2.0,30,2006
200.0,"Perruzza, Anthony",Monetary,Individual, ,"Frank, Gaspari",M6C 3J3,Councillor,2.0,8,2006
500.0,"Lechter, Debbie",Monetary,Individual, ,"Frank, Michael",M6E 3E5,Councillor,2.0,26,2006
750.0,"Kennedy, Helen",Monetary,Individual, ,"Frankel, David",M6J 1B2,Councillor,2.0,20,2006
100.0,"Robertson, David",Monetary,Individual, ,"Frankford, Robert",M5S 2L6,Councillor,2.0,41,2006
100.0,"Robertson, David",Monetary,Individual, ,"Frankford, Robert",M5S 2L6,Councillor,2.0,41,2006
200.0,"Aynedjian, Hratch",Monetary,Individual, ,"Frankian, A",M1T 3S5,Councillor,2.0,41,2006
500.0,"Kettel, Geoff",Monetary,Individual, ,"Franklin, Ivan",N4L 1W5,Councillor,2.0,26,2006
300.0,"Hamara, Greg",Monetary,Individual, ,"Franko, Ivan",M9A 3C5,Councillor,2.0,13,2006
300.0,"Hamara, Greg",Monetary,Individual, ,"Franko, Roma",M9A 4T2,Councillor,2.0,13,2006
300.0,"Hamara, Greg",Monetary,Individual, ,"Franko, Roman",M9A 4Z2,Councillor,2.0,13,2006
250.0,"Hamara, Greg",Monetary,Individual, ,"Franko, Stefan",M9A 4T2,Councillor,2.0,13,2006
300.0,"Protsenko, Vlad",Monetary,Individual, ,"Franko, Svitlana",M6C 2L4,Councillor,2.0,9,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Frasca, Costantino",M3K 1S2,Councillor,2.0,9,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Frasca, Egidio",L6A 1Z7,Councillor,2.0,9,2006
300.0,"De Baeremaeker, Glenn",Monetary,Corporation,"100 King S. W., Toronto",Fraser Milner Casgrain LLP,M5X 1B2,Councillor,2.0,38,2006
250.0,"Parker, John",Monetary,Individual, ,"Fraser, Alistair",M4G 1S5,Councillor,2.0,26,2006
300.0,"Parker, John",Monetary,Individual, ,"Fraser, Craig",M4K 3A4,Councillor,2.0,26,2006
250.0,"Darby, Charm",Monetary,Individual, ,"Fraser, John A.",M5S 2E1,Councillor,2.0,16,2006
750.0,"Moscoe, Howard",Monetary,Corporation,"321 King Street West, Toronto",Fred's Not Here,M5V 1J5,Councillor,2.0,15,2006
400.0,"Milczyn, Peter",Monetary,Individual, ,"Frederico, Marianna",L4J 8Z9,Councillor,2.0,5,2006
200.0,"Moscoe, Howard",Monetary,Individual, ,"Freed, Ikram",M9V 4M1,Councillor,2.0,15,2006
300.0,"Richardson, Kevin",Monetary,Individual, ,"Freed, Irram",M6L 3C8,Councillor,2.0,44,2006
750.0,"Freeman, Tom",Monetary,Individual, ,"Freeman, Chris",M9A 1V3,Councillor,2.0,14,2006
750.0,"Freeman, Tom",Monetary,Individual, ,"Freeman, Dennis",L6J 2Z3,Councillor,2.0,14,2006
750.0,"Freeman, Tom",Monetary,Individual, ,"Freeman, Dennis",M9A 1V3,Councillor,2.0,14,2006
750.0,"Freeman, Tom",Monetary,Individual, ,"Freeman, Karen",L6J 2Z3,Councillor,2.0,14,2006
750.0,"Freeman, Tom",Monetary,Individual, ,"Freeman, Susan",M9A 1V3,Councillor,2.0,14,2006
826.22,"Freeman, Tom",Monetary,Individual, ,"Freeman, Tom",M5P 2G3,Councillor,2.0,14,2006
300.0,"McConnell, Pam",Monetary,Individual, ,"Frei, Ellen",M5E 1T4,Councillor,2.0,28,2006
200.0,"Milczyn, Peter",Monetary,Individual, ,"Freifeld, Miriam",M8X 1N4,Councillor,2.0,5,2006
200.0,"Fletcher, Paula",Monetary,Individual, ,"Fremlin, Duncan",M4K 3H4,Councillor,2.0,30,2006
200.0,"Vaughan, Adam",Monetary,Individual, ,"Friedland, Jenny",M5T 2C1,Councillor,2.0,20,2006
400.0,"Vaughan, Adam",Monetary,Individual, ,"Friedland, Tom",M5R 2X6,Councillor,2.0,20,2006
200.0,"Davis, Janet",Monetary,Individual, ,"Friendly, Martha",M5R 1P3,Councillor,2.0,31,2006
70.0,"Davis, Janet",Monetary,Individual, ,"Friendly, Martha",M5R 1P3,Councillor,2.0,31,2006
200.0,"Moscoe, Howard",Monetary,Individual, ,"Frodyma, Robert",M3C 4H9,Councillor,2.0,15,2006
250.0,"Feldman, Michael",Monetary,Corporation,"100 Scarsdale Rd., Toronto",Front & Simcoe Limited,M3B 2R8,Councillor,2.0,10,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Frucci, Francesco",L4L 6S5,Councillor,2.0,9,2006
125.0,"Moscoe, Howard",Monetary,Individual, ,"Fuerstenberg, Adam",M2M 1B9,Councillor,2.0,15,2006
500.0,"Jarsky, Walter",Monetary,Individual, ,"Fugere, Robert",M6G 3J4,Councillor,2.0,14,2006
750.0,"Maier, Erica",Monetary,Individual, ,"Fulford, Dorothy",M3C 1B1,Councillor,2.0,32,2006
300.0,"Holyday, Doug",Monetary,Individual, ,"Fuller, Mike",M9R 1J2,Councillor,2.0,3,2006
750.0,"Grimes, Mark",Monetary,Individual, ,"Fulton, Bob",M8X 2T5,Councillor,2.0,6,2006
750.0,"Grimes, Mark",Monetary,Individual, ,"Fulton, Fred",M8X 2Y9,Councillor,2.0,6,2006
500.0,"Kallmeyer, Jamie",Monetary,Individual, ,"Fulton, Fred",M8X 1A2,Councillor,2.0,37,2006
200.0,"Tsang-Fahey, Sarah",Monetary,Individual, ,"Fung, Miranda",M2N 5C2,Councillor,2.0,33,2006
200.0,"Milczyn, Peter",Monetary,Individual, ,"Fung, Richard",M8V 2A7,Councillor,2.0,5,2006
300.0,"Tsang-Fahey, Sarah",Monetary,Individual, ,"Fung, Sam Siu Man",M2N 5C2,Councillor,2.0,33,2006
300.0,"Kelly, Norm",Monetary,Individual, ,"Fung, Steven",L4C 3V1,Councillor,2.0,40,2006
130.0,"Augimeri, Maria",Monetary,Individual, ,"Fuoco, Luigi",M2M 1P1,Councillor,2.0,9,2006
300.0,"Berardinetti, Michelle",Monetary,Corporation,"2751 Markham Road, Toronto",Furfari Paving Co. Ltd.,M1X 1M4,Councillor,2.0,35,2006
230.0,"Romano Anthony, Sandra",Monetary,Individual, ,"Furlan, Angelo",M3J 1W6,Councillor,2.0,7,2006
200.0,"Romano Anthony, Sandra",Monetary,Individual, ,"Furlan, Efrem",M3J 1W6,Councillor,2.0,7,2006
200.0,"Romano Anthony, Sandra",Monetary,Individual, ,"Furlan, Jack",M9M 1P1,Councillor,2.0,7,2006
300.0,"Gasparotto, Eddy",Monetary,Individual, ,"Furlanetto, Mary",L4C 6J5,Councillor,2.0,36,2006
260.0,"Wdowczyk, Frances",Monetary,Individual, ,"Furlong, David",M6P 3G5,Councillor,2.0,13,2006
150.0,"Milczyn, Peter",Monetary,Individual, ,"Furrgiuele, Lucia",M8Z 4V5,Councillor,2.0,5,2006
200.0,"Carroll, Shelley",Monetary,Individual, ,"Fusco, C",M2H 2K4,Councillor,2.0,33,2006
400.0,"Minnan-Wong, Denzil",Monetary,Individual, ,"Fylnn-Guglietti, Mary",M5J 2T3,Councillor,2.0,34,2006
750.0,"Royz, Max",Monetary,Individual, ,"Fylypenko, Okzana",L4L 3R2,Councillor,2.0,10,2006
200.0,"Protsenko, Vlad",Monetary,Individual, ,"Fyxon, Irina",M2M 1H4,Councillor,2.0,9,2006
750.0,"Moscoe, Howard",Monetary,Corporation,"970 Lawrence Avenue West, Suite 300, Toronto",G.B. Holdings,M6A 3B6,Councillor,2.0,15,2006
750.0,"Feldman, Michael",Monetary,Corporation,"970 Lawrence Ave. W, Toronto",G.B.S. Holdings,M6A 3B6,Councillor,2.0,10,2006
650.0,"Thompson, Michael",Monetary,Corporation,"276 Carlaw Ave , Suite 200, Toronto",G.C Jain Investments Ltd.,M4M 3L1,Councillor,2.0,37,2006
200.0,"Colautti, John",Monetary,Individual, ,"Gaber-Katz, Elaine",M6R 1T6,Councillor,2.0,14,2006
300.0,"McConnell, Pam",Monetary,Individual, ,"Gabor, Andrea",M4R 1L3,Councillor,2.0,28,2006
200.0,"Pantalone, Joe",Monetary,Individual, ,"GABOR, ANGELA",M4W 1A8,Councillor,2.0,19,2006
450.0,"Cole, Desmond",Monetary,Individual, ,"Gaby, Mary",M4V 2W9,Councillor,2.0,20,2006
200.0,"Protsenko, Vlad",Monetary,Individual, ,"Gadassik, Irina",M9C 1T1,Councillor,2.0,9,2006
300.0,"Verma, Sonali",Monetary,Individual, ,"Gadbois, Larry",M9V 2T3,Councillor,2.0,1,2006
300.0,"Verma, Sonali",Monetary,Individual, ,"Gadbois, Marc",M3C 4J2,Councillor,2.0,1,2006
300.0,"Robertson, David",Monetary,Individual, ,"GAG, BI FENG",M2J 3A8,Councillor,2.0,41,2006
200.0,"Milczyn, Peter",Monetary,Corporation,"21 Queen Street East, Suite 500, Toronto",Gagnon Law Bozzo Urban Planners Ltd.,L6W 3P1,Councillor,2.0,5,2006
500.0,"Colautti, John",Monetary,Individual, ,"Galati, Mauro",L6T 1A7,Councillor,2.0,14,2006
300.0,"Kettel, Geoff",Monetary,Individual, ,"Galimberti, Carol",M4P 2P7,Councillor,2.0,26,2006
500.0,"Kennedy, Helen",Monetary,Individual, ,"Gallagher, Bob",K2P 2T4,Councillor,2.0,20,2006
300.0,"Romano Anthony, Sandra",Monetary,Individual, ,"Gallivan, Barbara",M4S 1C4,Councillor,2.0,7,2006
300.0,"Lindsay Luby, Gloria",Monetary,Individual, ,"Gallo, Daniel",M9A 3Z6,Councillor,2.0,4,2006
350.0,"Rae, Kyle",Monetary,Individual, ,"Gallor, Andrea",M4R 1L3,Councillor,2.0,27,2006
200.0,"Li Preti, Peter",Monetary,Individual, ,"Gallucci, Brigitte",M2R 3R9,Councillor,2.0,8,2006
300.0,"Li Preti, Peter",Monetary,Individual, ,"Gallucci, John",M2R 3R9,Councillor,2.0,8,2006
250.0,"Toutchinski, Igor",Monetary,Individual, ,"Galoushchak, Roman",M6N 4X7,Councillor,2.0,10,2006
300.0,"Aynedjian, Hratch",Monetary,Individual, ,"Galustian, Hacop",M2L 2W2,Councillor,2.0,41,2006
200.0,"Di Giorgio, Frank",Monetary,Individual, ,"Gambin, Patricia",M6M 2J8,Councillor,2.0,12,2006
300.0,"Shah, Tushar",Monetary,Individual, ,"Gandhi, Chhaya",M1G 3R3,Councillor,2.0,38,2006
300.0,"Shah, Tushar",Monetary,Individual, ,"Gandhi, Manoj",M1G 3R3,Councillor,2.0,38,2006
200.0,"Amirpour, Sanaz",Monetary,Individual, ,"GANDOVANI, MAHDY S",M2L 1C6,Councillor,2.0,24,2006
350.0,"Giambrone, Adam",Monetary,Individual, ,"Gannage, Gary",M6H 2L3,Councillor,2.0,18,2006
750.0,"Bravo, Alejandra",Monetary,Individual, ,"Gannage, Gary",M6H 2L3,Councillor,2.0,17,2006
300.0,"Robertson, David",Monetary,Individual, ,"GAO, BING",M2H 1K4,Councillor,2.0,41,2006
750.0,"Robertson, David",Monetary,Individual, ,"GAO, CHUNFU",M1S 1S1,Councillor,2.0,41,2006
300.0,"Robertson, David",Monetary,Individual, ,"Gao, Fei",L3R 0C1,Councillor,2.0,41,2006
180.0,"Robertson, David",Monetary,Individual, ,"GAO, KE ZHONG",L6C 2Z3,Councillor,2.0,41,2006
300.0,"Robertson, David",Monetary,Individual, ,"GAO, PING",M1V 4Z4,Councillor,2.0,41,2006
750.0,"Shi, Scott",Monetary,Individual, ,"Gao, Ping",M9B 3W4,Councillor,2.0,41,2006
750.0,"Robertson, David",Monetary,Individual, ,"GAO, WEIJIAN",M1S 4Z2,Councillor,2.0,41,2006
750.0,"Shi, Scott",Monetary,Individual, ,"Gao, Wen",M9B 3W4,Councillor,2.0,41,2006
300.0,"Robertson, David",Monetary,Individual, ,"Gao, XiaoQing",M1S 1S1,Councillor,2.0,41,2006
225.0,"Robertson, David",Monetary,Individual, ,"Gao, Yingjia",L5R 3J8,Councillor,2.0,41,2006
330.57,"Gapka, Susan",Monetary,Individual, ,"Gapta, Susan",M5B 2K5,Councillor,2.0,27,2006
200.0,"Gualtieri, Rocky",Monetary,Individual, ,"Garayoa, Sheila",L5E 3K4,Councillor,2.0,11,2006
150.0,"Lojko, Ted",Monetary,Individual, ,"Garbowski, Jarowslaw",M6K 2J8,Councillor,2.0,14,2006
750.0,"Wookey, Simon",Monetary,Individual, ,"Garces, Dennis",M4B 1Y7,Councillor,2.0,18,2006
400.0,"Stintz, Karen",Monetary,Individual, ,"Garcia, Rolando",L4Y 1H7,Councillor,2.0,16,2006
500.0,"Li Preti, Peter",Monetary,Corporation,"800 Arrow Rd., Suite 6, Toronto",Garden Park Homes/1534739 Ontario Ltd.,M9M 2Z8,Councillor,2.0,8,2006
300.0,"Harris, Dan",Monetary,Individual, ,"Gardhouse, Coline",M1M 1A5,Councillor,2.0,35,2006
300.0,"Harris, Dan",Monetary,Individual, ,"Gardhouse, Erin",M1M 1A5,Councillor,2.0,35,2006
300.0,"Mihevc, Joe",Monetary,Individual, ,"Gardner, Kay",M5N 2N5,Councillor,2.0,21,2006
200.0,"Walker, Michael",Monetary,Individual, ,"Gardner, Kay",M5N 2N5,Councillor,2.0,22,2006
200.0,"McConnell, Pam",Monetary,Individual, ,"Gardner, Kay",M5N 2N5,Councillor,2.0,28,2006
200.0,"Bravo, Alejandra",Monetary,Individual, ,"Gardner, Kay",M5N 2N5,Councillor,2.0,17,2006
200.0,"Kennedy, Helen",Monetary,Individual, ,"Gardner, Kay",M5N 2N5,Councillor,2.0,20,2006
200.0,"Gualtieri, Rocky",Monetary,Individual, ,"Garner-Howe, Jeremy",M9N 2E8,Councillor,2.0,11,2006
300.0,"Bravo, Alejandra",Monetary,Individual, ,"Garofalo, Giancarlo",M6H 3E3,Councillor,2.0,17,2006
750.0,"Garrick, David",Monetary,Individual, ,"Garrick, Joy",M6S 2W4,Councillor,2.0,13,2006
450.0,"Garrick, David",Monetary,Individual, ,"Garrick, Marjorie",M6S 2W4,Councillor,2.0,13,2006
300.0,"Garrick, David",Monetary,Individual, ,"Garrick, Marjorie",M6S 2W4,Councillor,2.0,13,2006
750.0,"Stintz, Karen",Monetary,Individual, ,"Gary, David",L0H 1G0,Councillor,2.0,16,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"2146 Kipling Ave, Toronto",Gasmo Investments Inc. (DeCicco Group),M9W 4K9,Councillor,2.0,7,2006
200.0,"Augimeri, Maria",Monetary,Individual, ,"Gaspari, Anna",M6C 3J3,Councillor,2.0,9,2006
200.0,"Gasparotto, Eddy",Monetary,Individual, ,"Gasparotto, Eddy",M1N 4C7,Councillor,2.0,36,2006
100.0,"Gasparotto, Eddy",Monetary,Individual, ,"Gasparotto, Eddy",M1N 4C7,Councillor,2.0,36,2006
300.0,"Gasparotto, Eddy",Monetary,Individual, ,"Gasparotto, Evelyn",M1N 4C7,Councillor,2.0,36,2006
300.0,"Gasparotto, Eddy",Monetary,Individual, ,"Gasparotto, Nilla",M6M 3P3,Councillor,2.0,36,2006
300.0,"Kelly, Norm",Monetary,Individual, ,"Gasparro, Albert",L4J 2A1,Councillor,2.0,40,2006
750.0,"Thompson, Michael",Monetary,Individual, ,"Gasparro, Albert",L4J 2A1,Councillor,2.0,37,2006
100.0,"McConnell, Pam",Monetary,Individual, ,"Gaster, Cheryl",M4L 2Y8,Councillor,2.0,28,2006
75.0,"McConnell, Pam",Monetary,Individual, ,"Gaster, Cheryl",M4L 2Y8,Councillor,2.0,28,2006
200.0,"Fletcher, Paula",Monetary,Individual, ,"Gastor, Zvi",M4L 2Y8,Councillor,2.0,30,2006
300.0,"Stintz, Karen",Monetary,Individual, ,"Gates, Gordon",M4R 1R5,Councillor,2.0,16,2006
200.0,"Stintz, Karen",Monetary,Individual, ,"Gatos, Dimertrios",M4K 1Z3,Councillor,2.0,16,2006
200.0,"McConnell, Pam",Monetary,Individual, ,"Gaudreau, Murray",M4Y 2K2,Councillor,2.0,28,2006
150.0,"Grimes, Mark",Monetary,Individual, ,"Gauthier, Len",M8V 1X5,Councillor,2.0,6,2006
50.0,"Grimes, Mark",Monetary,Individual, ,"Gauthier, Len",M8V 1X5,Councillor,2.0,6,2006
200.0,"Fletcher, Paula",Monetary,Individual, ,"Gauthier, Paul",M4J 1E7,Councillor,2.0,30,2006
400.0,"Mammoliti, Giorgio",Monetary,Individual, ,"Gawlik, Livia",M9L 1H9,Councillor,2.0,7,2006
750.0,"Ford, Rob",Monetary,Corporation,"529 Carlingview Drive, Toronto",Gazzola Paving Limited,M9W 5H2,Councillor,2.0,2,2006
300.0,"Robertson, David",Monetary,Individual, ,"GE, YUN",M2J 1L6,Councillor,2.0,41,2006
200.0,"Thompson, Michael",Monetary,Individual, ,"Gedz, Michael",M1G 1G9,Councillor,2.0,37,2006
700.0,"Vaughan, Adam",Monetary,Individual, ,"Geisweiller, Frederic",M4T 1S5,Councillor,2.0,20,2006
300.0,"Mihevc, Joe",Monetary,Individual, ,"Gelboin, Lisa",M6C 2Z9,Councillor,2.0,21,2006
200.0,"Moscoe, Howard",Monetary,Individual, ,"Geleff, Jean",M5M 3M5,Councillor,2.0,15,2006
250.0,"Toutchinski, Igor",Monetary,Individual, ,"Gelfman, Yuri",M2R 3T2,Councillor,2.0,10,2006
750.0,"Tsang-Fahey, Sarah",Monetary,Individual, ,"Gene, David",M8Z 4A8,Councillor,2.0,33,2006
750.0,"Tsang-Fahey, Sarah",Monetary,Individual, ,"Gene, Sandra",M8Z 4A8,Councillor,2.0,33,2006
300.0,"Robertson, David",Monetary,Individual, ,"Geng, Guixian",M1M 2C1,Councillor,2.0,41,2006
450.0,"Di Giorgio, Frank",Monetary,Corporation,"13 Parson Crt., Toronto",Gennaro Investments Ltd.,M6M 4Z9,Councillor,2.0,12,2006
200.0,"Perruzza, Anthony",Monetary,Individual, ,"Gentile, Maria Matilde",M3H 2H1,Councillor,2.0,8,2006
200.0,"Augimeri, Maria",Monetary,Individual, ,"Gentile, Matilde",M3H 2H1,Councillor,2.0,9,2006
300.0,"Maniates, Natalie",Monetary,Individual, ,"Georgas, Steve",M4H 3S1,Councillor,2.0,26,2006
750.0,"Green, Garry",Monetary,Corporation,"6790 Century Ave., Suite 401, Mississauga",George E. Harris Consulting,L5N 2V8,Councillor,2.0,8,2006
200.0,"Giambrone, Adam",Monetary,Individual, ,"George, Erin",M6H 3N7,Councillor,2.0,18,2006
200.0,"Davis, Janet",Goods/Services,Individual, ,"George, Erin",M6H 3N7,Councillor,2.0,31,2006
500.0,"Nadarajah, Kumar",Monetary,Individual, ,"George, Rossario",L3S 3Y2,Councillor,2.0,42,2006
140.0,"Vegh, Csaba",Monetary,Individual, ,"Georgiadis, James",M4A 2T5,Councillor,2.0,26,2006
210.0,"Minos, Steve",Monetary,Individual, ,"Germaine, Melvin",M4C 1R3,Councillor,2.0,31,2006
750.0,"Ferreira, Paul",Monetary,Individual, ,"Gernstein, Tim",M6N 4C2,Councillor,2.0,11,2006
200.0,"Santos, Rowena",Monetary,Individual, ,"GERONIMO, JOSEPH",M2J 1N3,Councillor,2.0,14,2006
200.0,"Cole, Desmond",Monetary,Individual, ,"Gertler, Meric",M4X 1K1,Councillor,2.0,20,2006
200.0,"Aminvaziri, Bahar",Monetary,Individual, ,"Ghahremani, Hamid",L6R 1X4,Councillor,2.0,26,2006
750.0,"Gondor Berkovits, Magda",Monetary,Individual, ,"Ghazipura, Mohammad",L5M 5M7,Councillor,2.0,10,2006
600.0,"Amirpour, Sanaz",Monetary,Individual, ,"GHEISARY, MOHAMMAD",L4J 8H8,Councillor,2.0,24,2006
300.0,"Chifor, Cornel",Monetary,Individual, ,"Ghereben, Daniela",L3Y 5E6,Councillor,2.0,23,2006
300.0,"Salek, Susan",Monetary,Individual, ,"Gholampour, Farzam",M2N 3M5,Councillor,2.0,34,2006
500.0,"Ferreira, Paul",Monetary,Individual, ,"Ghosh, Bobby",M6N 5J1,Councillor,2.0,11,2006
250.0,"Davis, Janet",Monetary,Individual, ,"Ghosh, Mihir",M4A 2X9,Councillor,2.0,31,2006
100.0,"Giambrone, Adam",Monetary,Individual, ,"Giambrone, Adam",M6H 2Z5,Councillor,2.0,18,2006
400.0,"Giambrone, Adam",Monetary,Individual, ,"Giambrone, Adam",M6H 2Z5,Councillor,2.0,18,2006
200.0,"Kapsalis, Peter",Monetary,Individual, ,"Giancola, Gino",L4L 7A7,Councillor,2.0,25,2006
